titulo;url;letra;views;composicao
Thank You For Loving Me;https://www.letras.mus.br/bon-jovi/4925/;It's hard for me to say the thingsI want to say, sometimesThere's no one here but you and meAnd that broken old street lightLock the doorsWe'll leave the world outsideAll I've got to give to youAre these five words, and IThank you for loving meFor being my eyesWhen I couldn't seeFor parting my lipsWhen I couldn't breatheThank you for loving meThank you for loving meI never knew I had a dreamUntil that dream was youWhen I look into your eyesThe sky's a different blueCross my heart, I wear no disguiseIf I tried, you'd make believeThat you believed my liesThank you for loving meFor being my eyesWhen I couldn't seeFor parting my lipsWhen I couldn't breatheThank you for loving meYou pick me up when I fall downYou ring the bell before they count me outIf I was drowning you would part the seaAnd risk your own life to rescue me, yeahYeah, yeah, yeah, yeah, yeah, yeah, yeahLock the doorsWe'll leave the world outsideAll I've got to give to youAre these five words tonight, and IThank you for loving meFor being my eyesOh, when I couldn't seeFor parting my lipsWhen I couldn't breatheThank you for loving meThank you for loving meThank you for loving meOh, for loving me;1.022.764;Jon Bon Jovi / Richie Sambora
Have a Nice Day;https://www.letras.mus.br/bon-jovi/242851/;Why you wanna tell me how to live my life?Who are you to tell me if it's black or white?Mama, can you hear me? Try to understandIs innocence the difference between a boy and a man?My daddy lived the lie, that's just the price that he paidSacrificed his life just slavin' awayOh, if there's one thing I hang ontoThat gets me through the nightI ain't gonna do what I don't want toI'm gonna live my lifeShinin' like a diamond, rollin' with the diceStandin' on the ledge, I show the wind how to flyWhen the world gets in my face, I sayHave a nice dayHave a nice dayTake a look around you, nothing's what it seemsWe're livin' in the broken home of hopes and dreamsLet me be the first to shake a helpin' handAnybody brave enough to take a standI've knocked on every door, on every dead-end streetLookin' for forgiveness, what's left to believe?Oh, if there's one thing I hang ontoThat gets me through the nightI ain't gonna do what I don't want toI'm gonna live my lifeShinin' like a diamond, rollin' with the diceStandin' on the ledge, I show the wind how to flyWhen the world gets in my face I sayHave a nice dayHave a nice dayOh, oh, if there's one thing I hang ontoThat gets me through the nightI ain't gonna do what I don't want toI'm gonna live my lifeShinin' like a diamond, rollin' with the diceStandin' on the ledge, I show the wind how to flyWhen the world gets in my face I sayHave a nice dayHave a nice dayHave a nice day(Have a nice day) when the world keeps tryin' to drag me down(Have a nice day) I gotta raise my hands, I'm gonna stand my ground(Have a nice day) I say: Hey, have a nice dayHave a nice dayHave a nice dayHave a nice day;476.262;John Shanks / Jon Bon Jovi / Richie Sambora
Blaze Of Glory;https://www.letras.mus.br/bon-jovi/1587440/;I wake up in the morning and I raise my weary headI've got an old coat for a pillowAnd the earth was last night's bedI don't know where I'm goin'Only God knows where I've beenI'm a devil on the run, a six-gun loverA candle in the wind, yeahWhen you're brought into this worldThey say you're born in sinWell, at least they gave me somethin'I didn't have to steal or have to winWell, they tell me that I'm wantedYeah, I'm a wanted manI'm a colt in your stable, I'm what Cain was to AbelMister Catch-Me-If-You-CanI'm goin' down in a blaze of gloryTake me now, but know the truthI'm goin' out in a blaze of gloryAnd, Lord, I never drew first, but I drew first bloodI'm no one's son, call me young gunYou ask about my conscienceAnd I offer you my soulYou ask If I'll grow to be a wise manWell, I ask if I'll grow oldYou ask me if I've known love and what it's like to sing songs in the rainWell, I've seen love come, I've seen it shot downI've seen it die in vainShot down in a blaze of gloryTake me now, but know the truth'Cause I'm goin' out in a blaze of gloryLord, I never drew first, but I drew first bloodI'm the devil's son, call me young gunYeahEach night I go to bedI pray the Lord my soul to keepNo, I ain't lookin' for forgivenessBut before I'm six foot deepLord, I gotta ask a favorAnd I'll hope You'll understand'Cause I've lived life to the fullestLet this boy die like a manStarin' down a bulletLet me make my final standShot down in a blaze of gloryTake me now, but know the truthI'm goin' out in a blaze of gloryLord, I never drew first, but I drew first bloodAnd I'm no one's son, call me young gunI'm a young gun, yeahYoung gun, yeah, yeah, yeahYoung gun;516.448;Jon Bon Jovi
Miracle;https://www.letras.mus.br/bon-jovi/1692666/;A penny for your thoughts now, babyLooks like the weight of the world's on your shoulders nowI know you think you're going crazyJust when it seems everything's gonna work itself outThey drive you right back downAnd you said it ain't fair that a man walksWhen a bird can fly, we have to kick the groundThe stars kiss the skyThey say that spirits live, a man has to dieThey promised us truth, now they're giving us liesGonna take a miracle to save us this timeAnd your savior has just left townGonna need a miracle'Cause it's all on the lineAnd I won't let you down (no, I won't let you down)The river of your hope is floodingAnd I know the dam is bustedIf you need me, I'll come runningI won't let you down, no, noYou're looking for salvationYou thought that it'd be shining like an angel's lightWell, the angels left this nationAnd salvation caught the last train out tonightHe lost one hell of a fightHe said: I'm just one manThat's all I'll ever beI never can be everything you wanted from meI've got big plans, so big that any blind man could seeI'm standing in the river, now I'm drowning in the seaGonna take a miracle to save us this timeAnd your savior has just left townGonna need a miracle'Cause your heart's on the lineAnd your heartbeat is slowing down (heartbeat slowing)Your feet are grounded still, you're reaching for the skyYou can let 'em clip your wings'Cause I believe that you can flyWell, my eyes have seen the horrorOf the coming of the floodI've driven deep the thorny crownInto the soul of someone's sonStill I'll look you in the eye'Cause I've believed in things I've thoughtAnd I'll die without regretFor the wars I have foughtGonna take a miracle to save you this timeAnd your savior has just left townGonna need a miracle'Cause your heart's doing timeAnd your conscience is calling you out (conscience calling you)It ain't all for nothing, life ain't written in the sandI know the tide is comingBut it's time we made a standWith a miracleGonna take a miracleI need a miracleI need a miracleI need a miracleI need a miracle;122.317;Jon Bon Jovi
Someday I'll Be Saturday Night;https://www.letras.mus.br/bon-jovi/4979/;Hey, man I'm alive I'm takin' each day and night at a timeI'm feelin' like a monday but someday I'll be saturday nightHey, my name is jim, where did I go wrongMy life's a bargain basement, all the good shit's goneI just can't hold a job, where do I belongI'm sleeping in my car, my dreams move onMy name is billy jean, my love was bought and soldI'm only sixteen, I feel a hundred years oldMy foster daddy went, took my innocence awayThe street life aint much better, but at least I get paidAnd tuesday just might go my wayIt can't get worse than yesterdayThursdays, fridays ain't been kindBut somehow I'll surviveHey man I'm alive I'm takin' each day and night at a timeYeah I'm down, but I know I'll get byHey hey hey hey, man gotta live my lifeLike I ain't got nothin' but this roll of the diceI'm feelin' like a monday, but someday I'll be saturday nightNow I can't say my name, and tell you where I amI want to roll myself away, don't know if I canI wish that I could be in some other time and placeWith someone elses soul, someone elses faceOh, tuesday just might go my wayIt can't get worse than yesterdayThursdays, fridays ain't been kindBut somehow I'll surviveHey, man I'm alive I'm takin' each day and night at a timeYeah I'm down, but I know I'll get byHey hey hey hey, man gotta live my lifeI'm gonna pick up all the pieces and what's left of my prideI'm feelin' like a monday, but someday I'll be saturday nightSaturday night here we goSome day I'll be saturday nightI'll be back on my feet, I'll be doin' alrightIt may not be tomorrow baby, that's okI ain't goin' down, gonna find a way, hey hey heyHey man I'm alive I'm takin' each day and night at a timeYeah, I'm down, but I know I'll get byHey hey hey hey, man, gotta live my lifeLike I ain't got nothin' but this roll of the diceI'm feelin' like a monday, but someday I'll be saturday nightI'm feelin' like a monday, but someday I'll be saturday nightSaturday night,all right, all rightSaturday night;248.924;Sérgio Bittencourt / Jon Bon Jovi / Richie Sambora
This Ain't a Love Song;https://www.letras.mus.br/bon-jovi/2654/;I should have seen it comin' when the roses diedShould have seen the end of summer in your eyesI should have listened when you said good nightYou really meant goodbyeBaby, ain't it funny how we never ever learn to fall?You're really on your knees when you think you're standin' tallBut only fools are know-it-alls and I played that fool for youI cried and I cried, there were nights that I died for you, babyI tried and I tried to deny your love drove me crazy, babyIf the love that I've got for you is goneAnd if the river I've cried ain't that longThen I'm wrongYeah, I'm wrongThis ain't a love songBaby, I thought you and me would stand the test of timeLike we got away with the perfect crimeBut we were just a legend in my mindI guess that I was blindRemember those nights dancin' at the masquerade?The clowns wore smiles that wouldn't fadeBut you and I were the renegadesSome things never changeIt made me so mad 'cause I wanted it bad for us, babyAnd now it's so sad that whatever we had ain't worth savingOh, if the love that I've got for you is goneAnd if the river I've cried ain't that longThen I'm wrongYeah, I'm wrongThis ain't a love songIf the pain that I'm feelin' so strongIs the reason I'm holdin' onThen I'm wrongYeah, I'm wrongThis ain't a love songOh, ohI cried and I cried, there were nights that I died for you, babyI tried and I tried to deny your love drove me crazy, babyIf the love that I've got for you is goneAnd if the river I've cried ain't that longThen I'm wrongYeah, I'm wrongThis ain't a love songIf the pain that I'm feelin' so strongIs the reason I'm holdin' onThen I'm wrongYeah, I'm wrongThis ain't a love songThen I'm wrongYeah, I'm wrongThis ain't a love songThen I'm wrongYeah, I'm wrongThis ain't a love song;636.254;Richie Sambora / Jon Bon Jovi / Desmond Child
Runaway;https://www.letras.mus.br/bon-jovi/4970/;On the street where you live girls talk about their social livesThey're made of lipstick, plastic and paintA touch of sable in their eyes(All your life) all your life all you've askedWhen's your daddy gonna talk to youBut you was livin' in another worldTryin' to get your message throughNo one heard a single word you saidThey should have seen it in your eyesWhat was goin' around your headOh, she's a little runawayDaddy's girl learned fastAll those things she couldn't sayOh, she's a little runawayTake a line every nightGuaranteed to blow your mindI see you out on the streetsCallin' for a wild timeSo you sit home aloneCause there's nothin' left that you can doThere's only pictures hung in the shadowsLeft there to look at youYou know she likes the lights at nightsOn the neon Broadway signsShe don't really mindIt's only love she hoped to findOh, she's a little runawayDaddy's girl learned fastAll those things she couldn't sayOh, she's a little runawayNo one heard a single word you saidThey should have seen it in your eyes (seen it in your eyes)What was goin' around your headOh, she's a little runawayDaddy's girl learned fastAll those things she couldn't sayOh, she's a little runawayDaddy's girl learned fastNow she works the night awayOh, she's a little runawayDaddy's girl learned fastAll those things she couldn't sayOh, she's a little runawayDaddy's girl learned fastNow she works the night awayOh, she's a little runaway;485.273;George Karak / Jon Bon Jovi
Born To Be My Baby;https://www.letras.mus.br/bon-jovi/4966/;Rainy night and we worked all dayWe both got jobs cause there's bills to payWe got something they can't take awayOur love, our livesClose the door, leave the cold outsideI don't need nothing when I'm by your sideWe got something that'll never dieOur dreams, our prideMy heart beats like a drum (All night)Flesh to flesh, one to one (And it's alright)And I'll never let go 'causeThere's something I know deep insideYou were born to be my babyAnd baby, I was made to be your manWe got something to believe inEven if we don't know where we standOnly God would know the reasonsBut I bet he must have had a plan'Cause you were born to be my babyAnd baby, I was made to be your manLight a candle, blow the world awayTable for two on a TV trayIt ain't fancy, baby that's okOur time, our waySo hold me close better hang on tightBuckle up, baby, it's a bumpy rideWe're two kids hitching down the road of lifeOur world, our flightIf we stand side by side (All night)There's a chance we'll get by (And it's alright)And I'll know that you'll liveIn my heart till the day that I die'Cause you were born to be my babyAnd baby, I was made to be your manWe got something to believe inEven if we don't know where we standOnly God would know the reasonsBut I bet he must have had a planCause you were born to be my babyAnd baby, I was made to be your manAnd my heart beats like a drum (All night)Flesh to flesh, one to one (And it's alright)And I'll never let go 'causeThere's something I know deep insideYou were born to be my babyAnd baby, I was made to be your manWe got something to believe inEven if we don't know where we standOnly God would know the reasonsBut I bet he must have had a planCause you were born to be my babyAnd baby, I was made to be your manYou were born to be my babyAnd baby, I was made to be your man;390.215;Jon Bon Jovi / Richie Sambora / Desmond Child
In These Arms;https://www.letras.mus.br/bon-jovi/4929/;You want commitmentTake a look into these eyesThey burn with fire, yeahUntil the end of timeAnd I would do anythingI'd beg, I'd steal, I'd dieTo have you in these arms tonightBaby I want youLike the roses want the rainYou know I need youLike a poet needs the painAnd I would give anythingMy blood my love my lifeIf you were in these arms tonightI'd hold youI'd need youI'd get down on my knees for youAnd make everything alrightIf you were in these armsI'd love youI'd please youI'd tell you that I'd never leave youAnd love you till the end of timeIf you were in these arms tonightWe stared at the sunAnd we made a promiseA promise this world would never blind usAnd these were our wordsOur words were our songsOur songs are our prayersThese prayers keep me strongAnd I still believeIf you were in these armsI'd hold youI'd need youI'd get down on my knees for youAnd make everything alrightIf you were in these armsI'd love youI'd please youI'd tell you that I'd never leave youAnd love you till the end of timeIf you were in these arms tonightYour clothes are still scatteredAll over our roomThis old place still smells likeYour cheap perfumeEverything here reminds me of youAnd there's nothing I wouldn't doAnd these were our wordsThey keep me strongI'd hold youI'd need youI'd get down on my knees for youAnd make everything alrightIf you were in these armsI'd love youI'd please youI'd tell you that I'd never leave youAnd love you till the end of timeIf you were in these arms tonightIf you were in these arms tonightIf you were in these arms tonightBaby!Like the roses need the rainLike the seasons need to changeLike a poet needs the painI need you, in these arms tonight;339.063;David Bryan / Jon Bon Jovi / Richie Sambora
Red, White and Jersey;https://www.letras.mus.br/bon-jovi/red-white-and-jersey/;WoahI knew before I knew yaThat you were gonna be the oneSlow dancing in the fast laneThat's just what we do where we come fromWhen you lean in to kiss meSaid: Boy, you don't deserve meYeah, we started crackin' upBut now, look at us, look at us, look at usYeah, we held on tight, lookin' up all nightAt the lights of New York CityWhen you're seventeen, those basic dreamsWhere you're dreamin' right there with meIt ain't no surprise your blue eyesStill feel like home to meWe'll always be red, white, and JerseyThat summer with the top downWe were singing along to American GirlBig diamond in a small townWhen it was you and me against the worldYeah, we both didn't know any betterThat we'd live like that foreverYeah, we held on tight, lookin' up all nightAt the lights of New York CityWhen you're seventeen, those basic dreamsWhere you're dreamin' right there with meIt ain't no surprise your blue eyesStill feel like home to meWe'll always be red, white, and JerseyNow where have all the summers gone?Here we are, still goin' strong, goin' strong, goin' strongYeah, we held on tight, lookin' up all nightAt the lights of New York CityWhen you're seventeen, those basic dreamsWhere you're dreaming right there with meIt ain't no surprise your blue eyesStill feel like home to meWe'll always be red, white, and JerseyWoah(Woah) red, white, and Jersey(Woah) red, white, and JerseyWoah;128;Ashley Gorley / Jon Bon Jovi / John Shanks / Casey Brown
634-5789;https://www.letras.mus.br/bon-jovi/303667/;If you need a little loving, you call on meAnd if you want a little hugging, you call on me baby, ooh yeahYou can call me right here at homeAll you got to do is pick up the telephoneAnd dial now 634-5789What's my number (634-5789)If you need a little hugging, you call on meAnd if you want some kissin, you call on me, it's all rightNo more lonely nights, who'll be alone nowAll you got to do is pick up the telephoneAnd dial now 634-5789That's my number 634-5789Oh, I'll be right there just as soon as I canIf I be a little bit late now I hope that you'll understandAnd if you need a little loving, you call on me, Lord have mercyAnd if you want a little kissin, you call up Johnny B. baby, it's all rightAin't no more lonely nights, we'll be alone nowAll you got to do is pick up the telephoneAnd dial it 634-5789That's my number 634-5789Hey, 634-5789That's my number 634-5789Ooh, hoo 634-5789I'm running to you baby, where I belong 634-5789Cause if you need me, want me, tell me that you love me 634-5789Anytime, anywhere, come on baby, 634-5789Ooh hoo 634-5789, 634-5789, 634-5789;28.144;Eddie Floyd / Steve Cropper
