titulo;url;letra;views;composicao;extracted_at
Você Bem Sabe;https://www.letras.mus.br/djavan/45555/;Você bem sabeQue eu não sei te dizerTudo o que sinto por vocêMas você bem sabeQue we always lieBut we can never say goodbyeVocê nem sabeMe dizer o que sentir no coraçãoMente sem ter razãoNão vou fugirMas não vou ficarSempre loving youSó porque we were so happyVocê não quer dizer que não querMas também não dizSe é felizE tem um novo amorVai ou não vaiQue eu vou ou não vouSeja como forCom você, sem vocêCom você, sem vocêA gente tem é que crescer;71.745;Djavan / Nelson Motta;2025-09-07 12:33:11
Linha do Equador;https://www.letras.mus.br/djavan/11340/;Luz das estrelas, laço do infinitoGosto tanto dela assimRosa amarela, voz de todo gritoGosto tanto dela assimEsse imenso, desmedido amorVai além de seja o que forVai além de onde eu vouDo que sou, minha dorMinha Linha do EquadorEsse imenso, desmedido amorVai além de seja o que forPassa mais além doCéu de Brasília, traço do arquitetoGosto tanto dela assimGosto de filha, música de pretoGosto tanto dela assimNessa desmesura de paixãoÉ loucura do coraçãoMinha Foz do Iguaçu, Polo Sul, meu azulLuz do sentimento nuEsse imenso, desmedido amorVai além de seja o que forVai além de onde eu forDo que sou, minha dorMinha Linha do EquadorMas é doce morrer nesse marDe lembrar, e nunca esquecerSe eu tivesse mais alma pra dar, eu dariaIsso pra mim é viverCéu de Brasília, traço do arquitetoGosto tanto dela assimGosto de filha, música de pretoGosto tanto dela assimEssa desmesura de paixãoÉ loucura do coraçãoMinha Foz do Iguaçu, Polo Sul, meu azulLuz do sentimento nuEsse imenso, desmedido amorVai além de seja o que forVai além de onde eu vouDo que sou, minha dorMinha Linha do EquadorMas é doce morrer nesse marDe lembrar, e nunca esquecerSe eu tivesse mais alma pra dar, eu dariaIsso pra mim é viver;608.688;Caetano Veloso / Djavan;2025-09-07 12:33:13
Pétala;https://www.letras.mus.br/djavan/11338/;O seu amorReluz que nem riqueza, asa do meu destinoClareza do tino, pétalaDe estrela caindo bem devagarÓ, meu amorViver é todo sacrifício feito em seu nomeQuanto mais desejo um beijo, um beijo seuMuito mais eu vejo gosto em viver, viverPor ser exatoO amor não cabe em siPor ser encantadoO amor revela-sePor ser amor, invade e fimPor ser exatoO amor não cabe em siPor ser encantadoO amor revela-sePor ser amor, invade e fimPor ser exatoO amor não cabe em siPor ser encantadoO amor revela-sePor ser amor, invade e fim;1.187.838;Djavan;2025-09-07 12:33:16
Lilás;https://www.letras.mus.br/djavan/45530/;Amanhã, outro diaLua sai, ventaniaAbraça uma nuvem que passa no arBeija, brinca e deixa passarE no ar de outro diaMeu olhar surgia nas pontas de estrelas perdidas no marPra chover de emoção, trovejarRaio se libertou, clareou muito maisSe encantou pela cor lilásPrata na luz do amorCéu azul!Eu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioEu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioAmanhã, outro diaLua sai, ventaniaAbraça uma nuvem que passa no arBeija, brinca e deixa passarE no ar de outro diaMeu olhar surgia nas pontas de estrelas perdidas no marPra chover de emoção, trovejarRaio se libertou, clareou muito maisSe encantou pela cor lilásPrata na luz do amorCéu azul!Eu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioEu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioEu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioEu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioEu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raioEu quero ver o pôr do SolLindo como ele sóE gente pra ver, e viajarNo seu mar de raio;855.537;Djavan;2025-09-07 12:33:17
Açaí;https://www.letras.mus.br/djavan/45499/;Solidão de manhãPoeira tomando assentoRajada de vento, som de assombraçãoCoração sangrando toda palavra sãA paixão, puro afãMístico clã de sereia, castelo de areiaIra de tubarão, ilusãoO Sol brilha por siAçaí, guardiãZum de besouro, um ímãBranca é a tez da manhãAçaí, guardiãZum de besouro, um ímãBranca é a tez da manhã;514.422;Djavan;2025-09-07 12:33:18
Meu Bem Querer;https://www.letras.mus.br/djavan/meu-bem-querer/;Meu bem querer é segredo, é sagradoEstá sacramentado em meu coraçãoMeu bem querer, tem um quê de pecadoAcariciado pela emoçãoMeu bem querer, meu encantoTô sofrendo tanto, amorE o que é o sofrerPara mim que estouJurado pra morrer de amorMeu bem querer é segredo, é sagradoEstá sacramentado em meu coraçãoMeu bem querer, tem um quê de pecadoAcariciado pela emoçãoMeu bem querer, meu encantoTô sofrendo tanto, amorE o que é o sofrerPara mim que estouJurado pra morrer de amor;264.782;Djavan;2025-09-07 12:33:21
Faltando Um Pedaço;https://www.letras.mus.br/djavan/45524/;O amor é um grande laçoUm passo pr'uma armadilhaUm lobo correndo em círculoPra alimentar a matilhaComparo sua chegadaCom a fuga de uma ilhaTanto engorda, quanto mataFeito desgosto de filhaDe filhaO amor é como um raioGalopando em desafiosAbre fendas, cobre valesRevolta as águas dos riosQuem tentar seguir seu rastroSe perderá no caminhoNa pureza de um limãoOu na solidão do espinhoO amor e a agoniaCerraram fogo no espaçoBrigando horas a fioO cio vence o cansaçoE o coração de quem amaFica faltando um pedaçoQue nem a Lua minguandoQue nem o meu nos seus braços;477.024;Djavan;2025-09-07 12:33:22
Boa Noite;https://www.letras.mus.br/djavan/45511/;Meu ar de dominadorDizia que eu ia ser seu donoE nessa eu dancei!Hoje no universoNada que brilha cega mais que seu nomeFiquei mudo ao lhe conhecerO que vi foi demais, vazouPor toda selva do meu serNada ficou intactoNa fronteira de um oásisMeu coração em paz, se abalouÉ surpresa demais que trazes'Inda bem que eu sou FlamengoMesmo quando ele não vai bemAlgo me diz em rubro-negroQue o sofrimento leva alémNão existe amor sem medoBoa noite!Quem não tem pra quem se darO dia é igual à noiteTempo parado no ar, há diasCalor, insônia , oh! noiteQuem ama vive a sonhar de diaVoar é do homemVida foi feita pra estar em diaCom a fome, com a fome, com a fomeSe vens lá das alturas com agruras ou pazOh, meu bem, serei seu guia na terraNa guerra ou no sossego sua beleza é o caisE eu sou o homemQue pode lhe dar, além de calor, fidelidadeMinha vida por inteiro eu lhe dou;472.021;Djavan;2025-09-07 12:33:24
Esquinas;https://www.letras.mus.br/djavan/45521/;Só eu seiAs esquinas por que passeiSó eu sei só eu seiSabe lá o que é não ter e ter que ter pra darSabe láSabe láE quem seráNos arredores do amorQue vai saber repararQue o dia nasceuSó eu seiOs desertos que atravesseiSó eu seiSó eu seiSabe láO que é morrer de sede em frente ao marSabe láSabe láE quem seráNa correnteza do amor que vai saber se guiarA nave em breve ao vento vaga de leve e trazToda a paz que um dia o desejo levouSó eu seiAs esquinas por que passeiSó eu seiSó eu seiE quem seráNa correnteza do amor;222.724;Djavan;2025-09-07 12:33:25
Cigano;https://www.letras.mus.br/djavan/45516/;Te quererViver mais pra ser exatoTe seguirE poder chegarOnde tudo é só meuTe encontrarDar a cara pro teu beijoCorrer atrás de tiFeito cigano, cigano, ciganoMe jogar sem medirViajarEntre pernas e delíciasConhecer pra notícias darDevassar sua vidaResistirAo que pode o pensamentoSaber chegar no seu melhorMomento, momento, momentoPra ficar e ficarJuntos, dentro, horasTudo ali às clarasDeixar crescerAté romperA manhãComo o mar está serenoOlha láAs gaivotas jáVão deixar suas ilhasVeja o SolÉ demais essa cidade!A gente vai ter um dia de calorJuntos, dentro, horasTudo ali às clarasDeixar crescerAté romperA manhãComo o mar está serenoOlha láAs gaivotas jáVão deixar suas ilhasVeja o SolÉ demais essa cidade!A gente vai ter um dia de calor;228.783;Djavan;2025-09-07 12:33:26
