titulo;url;letra;views;composicao;extracted_at
Canto da Lira;https://www.letras.mus.br/djavan/85850/;Esse meninoEncantaram o meu amorEla foi encantadaPelo canto da liraE nunca mais voltouO canto da liraDelirariaQualquer donzelaDa cidade ou do interiorDo meu BrasilEncanta a mãe da noiteO pai do diaEncanta o cantorEu desconfio que não tem jeitoEssa ave tem um cantoTão perfeitoQue encantou atéO mal feito e o malfeitorEncanta a mãe da noiteO pai do diaEncanta o cantorEu desconfio que não tem jeitoEssa ave tem um cantoTão perfeitoQue encantou atéO mal feito e o malfeitor;10.436;Djavan;2025-09-07 12:33:39
Capim;https://www.letras.mus.br/djavan/45513/;Capim do Vale, vara de goiabeira na beira do rioParo para me benzerMãe d'Água sai um pouquinho desse seu leito ninhoQue eu tenho um carinho para lhe fazerPinheiros do ParanáQue bom tê-los como areia no marMangas do Pará, pitombeiras da BorboremaA Ema gemeu no tronco do JuremáCacique perdeu mas lutou que eu viJari não é Deus mas acham que simQue fim levou o amorPlantei um pé de fuló deu capimCapim do Vale, vara de goiabeira na beira do rioParo para me benzerMãe d'Água sai um pouquinho desse seu leito ninhoQue eu tenho um carinho para lhe fazerPinheiros do ParanáQue bom tê-los como areia no marMangas do Pará, pitombeiras da BorboremaA Ema gemeu no tronco do JuremáCacique perdeu mas lutou que eu viJari não é Deus mas acham que simQue fim levou o amorPlantei um pé de fuló deu capim;133.956;Djavan;2025-09-07 12:33:39
Cara de Índio;https://www.letras.mus.br/djavan/45514/;Índio cara pálida,cara de índio.Índio cara pálida,cara de índio.Sua ação é válida, meu caro índio.Sua ação é válida, válida ao índio.Nessa terra tudo dá,terra de índio.Nessa terra tudo dá,não para o índio.Quando alguém puder plantar,quem sabe índio.Quando alguém puder plantar,não é índio.Índio quer se nomear,nome de índio.Índio quer se nomear,duvido índio.Isso pode demorar,te cuida índio.Isso pode demorar,coisa de índio.Índio sua pipoca,tá pouca índio.Índio quer pipoca,te toca índio.Se o índio se tocar,touca de índio.Se o índio toca,não chove índio.Se quer abrir a boca,pra sorrir índio.Se quer abrir a boca,na toca índio.A minha também tá pouca,cota de índio.Apesar da minha roupa,também sou índio.;57.980;Djavan;2025-09-07 12:33:39
Carinhoso;https://www.letras.mus.br/djavan/1347199/;Meu coraçãoNão sei porqueBate felizQuando te vêE os meus olhosFicam sorrindoE pelas ruasVão te seguindoMas mesmo assimFoges de mimAhSe tu soubessesComo souTão carinhosoE muito e muitoQue te queroE como é sinceroO meu amorEu sei que tuNão fugiriasMais de mimVem, vem, vem, vemVem sentir o calorDos lábios meusÀ procura dos teusVem matar esta paixãoQue me devora o coraçãoE só assim entãoSerei felizBem feliz;26.360;João de Barro / Pixinguinha (Alfredo Vianna);2025-09-07 12:33:40
Carnaval No Rio;https://www.letras.mus.br/djavan/85851/;Quem vê caraNão vê que horas sãoJá vem passando a mãoNão sou dessasQue você tá pensandoVocê quer me parecerUm lobãoFaça favorDe não me olharComo quem quer devorarDesista de vezDe me conquistarO dono do meu coraçãoÉ puro e alemãoCismou de passarO carnaval no rioE desde que lhe conheçoVadioVocê é o últimoEm quem pensareiÁgua que não bebereiQuem é você?Eu não seiVá procurar a sua laiaSe queres saberEu sou de uma outra praiaNão vem com essa conversa!Meu nome é IngridMeu nome é Ingrid;11.776;Djavan;2025-09-07 12:33:40
Cedo Ou Tarde;https://www.letras.mus.br/djavan/cedo-ou-tarde/;AzulVem dos lados de anilVeio assim, nem me viuMal passou por aquiAquiCedo ou tarde é quando?Antes eu me mandoDeixo o ar invadirAliQuem manda é o medoA hora é imprópria pra sorrirViver assimCom tais dissaboresNão é brincadeiraCom tantos rancoresFaz-se uma fogueiraNão seiMais o que é certoO que decerto é ruimNem sei de mimCom a dor destruídaO que vai ser da vida?A vida soberanaSeria desumanaPorque o sol da tardeClareia, mas não ardeO mal de quem ama é a fé;8.229;Djavan;2025-09-07 12:33:40
Celeuma;https://www.letras.mus.br/djavan/98348/;Não me deixe sem me ouvir falarnão me faça um troço dessedepois não adianta mãe pra ajudaré bronca pra ninguém resolversem você seria pobre e infelize essa tal eu mal conheçopois nem que eu estivesse fora de mimjamais iria com essa aípor um nada você pagae quem acaba no sal sou eusai comprando sem olharo que essa gente quer venderencrencado, acusadopor uma falta que não condizeu prefiro morrera dar ouvido a celeumae lhe perder;14.364;Djavan;2025-09-07 12:33:40
Chega de Mágoa;https://www.letras.mus.br/djavan/950560/;Essa música foi removida em razão de solicitação do(s) titular(es) da obra. O Letras.mus.br está trabalhando para obter o licenciamento desse conteúdo.;26.309;Composição Coletiva;2025-09-07 12:33:40
Cigano;https://www.letras.mus.br/djavan/45516/;Te quererViver mais pra ser exatoTe seguirE poder chegarOnde tudo é só meuTe encontrarDar a cara pro teu beijoCorrer atrás de tiFeito cigano, cigano, ciganoMe jogar sem medirViajarEntre pernas e delíciasConhecer pra notícias darDevassar sua vidaResistirAo que pode o pensamentoSaber chegar no seu melhorMomento, momento, momentoPra ficar e ficarJuntos, dentro, horasTudo ali às clarasDeixar crescerAté romperA manhãComo o mar está serenoOlha láAs gaivotas jáVão deixar suas ilhasVeja o SolÉ demais essa cidade!A gente vai ter um dia de calorJuntos, dentro, horasTudo ali às clarasDeixar crescerAté romperA manhãComo o mar está serenoOlha láAs gaivotas jáVão deixar suas ilhasVeja o SolÉ demais essa cidade!A gente vai ter um dia de calor;228.783;Djavan;2025-09-07 12:33:40
Coleção (part. Cassiano);https://www.letras.mus.br/djavan/colecao-part-cassiano/;Sei que você gosta de brincarDe amoresMas, ó, comigo nãoComigo nãoSei também que vocêEu não sei, mais nadaUm dia você vaiOuvir de alguémO que ouvi de tiEntão irá pensarComo eu sonhei em vãoNão vá, ou váVocê é quem querQuer saber?Eu amo vocêSei que você gosta de brincarDe amoresMas, ó, comigo nãoComigo nãoSei também que vocêEu não sei mais nadaUm dia você vaiOuvir de alguémO que ouvi de tiEntão irá pensarComo eu sonhei em vãoNão vá, ou váVocê é quem querQuer saber? Eu amoQuer saber? Eu amoQuer saber? Eu amoEu amo vocêEu amo você;836;Cassiano / Paulo Zdanowski;2025-09-07 12:33:40
Com Mais Ninguém;https://www.letras.mus.br/djavan/com-mais-ninguem/;Pode acreditarMeu destino diz, meu bemQue eu não serei felizCom mais ninguémMesmo que o amorSe alimente de ilusãoÉ melhor que sofrerDe solidãoUm amor pra crescerPrecisa ter como existirContido, retidoEm vez de luz, obscuridadeSe o que sinto não vá trazer você pra mimNão há por quê um céu assimNão dá pra dizer que no auge da ilusãoO amor vai saberO que fazerCom a paixãoPode acreditarMeu destino diz, meu bemQue eu não serei felizCom mais ninguémMesmo que o amorSe alimente de ilusãoÉ melhor que sofrerDe solidãoUm amor pra crescerPrecisa ter como existirContido, retidoEm vez de luz, obscuridadeSe o que sinto não vá trazer você pra mimNão há por quê um céu assimNão dá pra dizer que no auge da ilusãoO amor vai saberO que fazerCom a paixão;2.936;Sabe de quem é a composição? Envie pra gente.;2025-09-07 12:33:41
Como Posso Saber;https://www.letras.mus.br/djavan/85852/;Ah! se eu pudesse entenderAs coisas que vêm do amorMas quem sou eu se a vida nuncaMe ensinouComo posso saberSe nem Deus me explicou a razãoDessa anti-paixão que existeEm vocêAmor é coisa que a gente tem queAprender por si sóNem sempre o que diz o livro é melhor BISE hoje eu me sinto cansadaCarrego o peso do amorQue eu não pude aprenderPorque você nunca me ajudou;21.614;Djavan;2025-09-07 12:33:41
Coração Leviano;https://www.letras.mus.br/djavan/85853/;Trama em segredo teus planosParte sem dizer adeusNem lembra dos meus desenganosFere quem tudo perdeuAh coração levianoNão sabe o que fez do meuAh coração levianoNão sabe o que fez do meuTrama em segredo teus planosParte sem dizer adeusNem lembra dos meus desenganosFere quem tudo perdeuAh coração levianoNão sabe o que fez do meuAh coração levianoNão sabe o que fez do meuEste pobre naveganteMeu coração amanteEnfrentou a tempestadeNo mar da paixão e da loucuraFruto da minha aventuraEm busca da felicidadeAh coração teu enganoFoi esperar por um bemDe um coração levianoQue nunca será de ninguémTrama em segredo teus planosParte sem dizer adeusNem lembra dos meus desenganosFere quem tudo perdeuAh coração levianoNão sabe o que fez do meuAh coração levianoNão sabe o que fez do meuCoração levianoNunca será de ninguémCoração levianoNunca será de ninguém;47.857;Paulinho da Viola;2025-09-07 12:33:41
Cordilheira;https://www.letras.mus.br/djavan/85854/;BocejarDia claro, vida a verdejarLuz por entre os cachos amarelos do ipêDeu pra verVocê me tocou sem perceberVocê nem me olhaE eu não posso te esquecerCreio em tiSe for ilusão, que Deus me guieO que não fazer pra se merecer tal mulherCerraçãoNoite na janela meu quererPorque te venero, sempre espero por vocêPor sobre a cordilheira, o arco-írisMeu corpo treme ao pensar no seu, frenesiTe quero,Mesmo pra te dar sem ter retornoTe quero assazTe quero assimTe quero pra mimEscada pro pecado, caso de amorTeus lábios tão sonhadosVão me ter sempre aquiÀ espera de um olhar que fazDia romperO céu cairNoite fecharE faz o meu ar desaparecer.O luar que eu vi no lago azulDaria pra vocêO luar que eu vi no lago azulNum instante se escondeu;18.463;Djavan;2025-09-07 12:33:41
Corisco;https://www.letras.mus.br/djavan/85855/;Na hora em que o céu se abreNo mesmo instante um raio explodeConcomitante um olho vêE a pedra do corisco podePode se tornar o que forE tudo o quanto é testemunhaPode até mesmo ser a dorCravada carne pela unhaTelefax mandeiO mapa mundi do meu penarAnde, mande logo um telexMe confirmando quando seráQue a necessidade de amorLhe trará num raioA necessidade de amorNum dia de chuvaE na tempestade vocêFará com que eu saiaNo exato momento de verO céu se abrir ao comando de IansãQue seja o momento em que a luzRegistre meu desejo de verVocê, meu amor, me traduzNo raio de Iansã, seu poderQue seja pra mim, meu XangôPoder correr correr meu riscoQuiçá ver nascer uma florNa lisa pedra do CoriscoTelegrafite de ExúLeia no muro do seu quintalPichada, fixada no azulA frase diz o essencialA necessidade de amorGritando na ruaA necessidade de amorUivando pra LuaUm lobo faminto de amorA dor que acentuaA necessidade de verO céu se abrir ao comando de Iansã.;11.533;Djavan / Gilberto Gil;2025-09-07 12:33:41
Correnteza;https://www.letras.mus.br/djavan/45517/;A correnteza do rioVai levando aquela florO meu bem já está dormindoZombando do meu amorNa barranceira do rioO ingá se debruçouE a fruta que era maduraA correnteza levou, a correnteza levouA correnteza levouE choveu uma semana e eu não vi o meu amorO barro ficou marcadoAonde a boiada passouDepois da chuva passadaCéu azul se apresentouLá à beira da estrada, vem vindo o meu amorA correnteza do rioVai levando aquela florE eu adormeci sorrindoSonhando com nosso amorSonhando com nosso amorSonhando com nosso amorOh, Dandá, oh, Dandá;161.899;Luiz Bonfá / Tom Jobim;2025-09-07 12:33:41
Corsário (part. João Bosco);https://www.letras.mus.br/djavan/corsario-part-joao-bosco/;Meu coração tropical está coberto de neve, masFerve em seu cofre geladoE à voz vibra e a mão escreve marBendita lâmina grave que fere a parede e trazAs febres loucas e brevesQue mancham o silêncio e o caisRoserais, Nova Granada de EspanhaPor você, eu, teu corsário presoVou partir a geleira azul da solidãoE buscar a mão do marMe arrastar até o mar, procurar o marMesmo que eu mande em garrafasMensagens por todo o marMeu coração tropical partirá esse gelo e iráCom as garrafas de náufragosE as rosas partindo o arNova Granada de EspanhaE as rosas partindo o arIela, iela, iela, iela la la la;6.914;Aldir Blanc / João Bosco;2025-09-07 12:33:41
Curumim;https://www.letras.mus.br/djavan/45518/;O que era florEu já catei pra darAté meus lápis de corEu já deiG.I. Joe, já deiO que se pensarEu já deiMinhas conchas do marAh! Minha florChega de maltratarO que mais pode agradarA vocêEu já fiz de tudoCadê que adiantouQue loucoQue é o amorTem graça viverQuando ela fica de malNão quer brincarTxucarramãeKrenacroroKalapaloYawalapiti - iiii - iiiiKamayuráKayabíKuikúruWauràSuyáAwetí - iiii - iiii;37.713;Djavan;2025-09-07 12:33:41
De Flor Em Flor;https://www.letras.mus.br/djavan/85856/;O amor, pra judiar de mimDeu à flor um cheiro de jasmimDe um punhado de areia brancaCom lendas e conchasFez prisão pro marE a brilhar assimTudo aqui parece dele virUm ator, um retratoO mato, o fim do atoUm prato feito pra cuspirE pra render alguémTem no olhar uma faca que fezCom a liga do aço inox, a intriga do boxQue é toda paixãoFoi coroado reiNo amor, simples vontade é leiUma coisa que amargaOu será que trava?Tão doce que enjoaSó sei que o amor enfimDe flor em florFez você pra mimSó sei que o amor enfimDe flor em florFez você pra mimO amor, pra judiar de mimDeu à flor um cheiro de jasmimDe um punhado de areia brancaCom lendas e conchasFez prisão pro marE a brilhar assimTudo aqui parece dele virUm ator, um retratoO mato, o fim do atoUm prato feito pra cuspirE pra render alguémTem no olhar uma faca que fezCom a liga do aço inox, a intriga do boxQue é toda paixãoFoi coroado reiNo amor, simples vontade é leiUma coisa que amargaOu será que trava?Tão doce que enjoaSó sei que o amor enfimDe flor em florFez você pra mimSó sei que o amor enfimDe flor em florFez você pra mim;39.500;Djavan;2025-09-07 12:33:42
De Tanto Amor;https://www.letras.mus.br/djavan/1162397/;Ah eu vim aqui amorSó pra me despedirE as últimas palavras desse nosso amorVocê vai ter que ouvirMe perdi de tanto amorAh eu enlouqueciNinguém podia amar assim e eu ameiE devo confessarAí foi que eu erreiVou te olhar mais uma vezNa hora de dizer adeusVou chorar mais uma vezQuando olhar nos olhos seusNos olhos seusAh saudade vai chegarE por favor meu bemMe deixe pelo menos só te ver passarEu nada vou dizerPerdoa se eu chorarVou chorar mais uma vezQuando olhar nos olhos seusNos olhos seusAh saudade vai chegarE por favor meu bemMe deixe pelo menos só te ver passarEu nada vou dizerPerdoa se eu chorar;79.120;Erasmo Carlos / Roberto Carlos;2025-09-07 12:33:42
Deixa o Sol Sair;https://www.letras.mus.br/djavan/85859/;Dia inteiro de olho nas nuvensEm qual delasEu vou te ter um dia?Passageiro de todas as nuvensEu navego com você a me guiarQuero ver quem vai serSerá eu ou vocêQuem será,Que decide a barreira romper?Nosso olhar quer falarMas, o medo é demais pra agirDeixa o amor resolver por nósDeixa o sol sair.Tudo é tão claro em mimSei que é amorE será fundo como o marVai acender uma lanterna no escuroO que vai ser o mundo,Com o que temosE nos falta receber?Vai ser você e eu enfim naquela nuvemE o que o amor vai poder ajudar,Quando a noite chegar?Mesmo que chova...O que eu tento explicarÉ que sem você não há lugarVocê me marcou, não vou dizerQue fazer, vou sair? Nem pensarRecolher, desligar,Vou dormir mais cedo.Eu só sei o que souSe viver pra te amarBody and soul, meu amor;29.381;Djavan;2025-09-07 12:33:42
Delírio Carioca;https://www.letras.mus.br/djavan/896462/;No rio: marOuço newton assoviarUm gershwin clara nunesQue faz vibrar feito flautaOs túneisUm cisco no olho azul da lagoa:SozinhoMacunaíma anda de pedalinhoNo rio-festaPorgy and bessTapeiam mais um turista argentinoE o chope é fino no azul cristalinoE vem num avião um jobim azulãoE a chuva é flecha em são sebastião...A clave rosa da manhã atinge um balãoMaravimentirosa:Dá pra pegar jacaré no arrastão;6.392;Aldir Blanc / Guinga;2025-09-07 12:33:42
Delírio Dos Mortais;https://www.letras.mus.br/djavan/1085986/;RioPodem dizer o que quiserMas o xodó do povoÉ o RioCasa do samba e do amorDo RedentorLouvado seja o RioRioPra delírio dos mortaisPedras monumentaisCombinaram aquiUm encontro colossalE contorno de beleza igualNunca viCom esse poderOutra cidade não háNão consigo pensar em duasÉ muito fácil sentirA mão de Deus em tudoEm CopacabanaO Rio bate um bolãoGarotas que passam têm lugar na cançãoTudo está aliPra quem sabe o que é bomNinguém mais esquece o réveillonFevereiro e marçoÉ tempo de carnavalO Rio que traçoÉ o lugar naturalPras coisas do amorDo jeito que se querTamanho o esplendor da mulher;34.648;Djavan;2025-09-07 12:33:42
Depois do Natal;https://www.letras.mus.br/djavan/1287293/;Seja assim como ésE eu te amarei sempre maisChega o dia que a gente entendeQue o amor teve um ponto finalO Natal já chegou de repenteSem presente nenhum para darNosso sonho feliz que se foiA brincar como duas criançasE querer um brinquedoEsperançasTudo foiJá passouMas eu quero o Natal novamenteTudo festa e alegria geralCom você ao meu lado presenteO meu sonho, meu mundo idealMeu presente será como sempreEu queria e sonhava afinalO presente é você, meu NatalNosso sonho feliz que se foiA brincar como duas criançasE querer um brinquedoEsperançasTudo foiJá passouMas eu quero o Natal novamenteTudo festa e alegria geralCom você ao meu lado presenteO meu sonho, meu mundo idealMeu presente será como sempreEu queria e sonhava afinalO presente é você, meu Natal;6.274;João Donato;2025-09-07 12:33:42
Desandou;https://www.letras.mus.br/djavan/1085990/;Me diga jáO que foi que aconteceuVocê e euEra tão bomLembro-me bemQuando a gente se encantouVocê traziaNos olhosA lã do primeiro amorPeguei na mãoDa vida eu nada mais queriaNaqueles diasImaculadosE num abraçoQuis roubar um beijo seuMas você deuFoi algo!IndescritívelO mais que podiaMe arrebatouMas nesse beijoSó tinha alegriaFaltava dorVocê foi prum ladoE eu pro outroAí desandou!...;25.598;Djavan;2025-09-07 12:33:43
Desejo;https://www.letras.mus.br/djavan/85857/;Você nem sabeO que é uma vidareduzida a paixãoDaí tudo é ilusãoTudo é ilusãoSentir saudadePrender uma vidaPela respiraçãoAssim tudo é ilusãoTudo é ilusãoSe queixa em não ter o mar à mãoCom esse calor o dia é dorSe queixa do nada que tiverN‹o que se possa tudo querernem tudo é o que se querAmor, amorPlantado ao coraçãoFoi brotar de um beijoAí já (nem) é ilusão ?É o meu desejo;52.757;Djavan;2025-09-07 12:33:43
Desenho de Giz;https://www.letras.mus.br/djavan/1311243/;Quem quer viver um amorMas não quer suas marcas, qualquer cicatrizA ilusão, o amorNão é risco na areia, desenho de gizEu sei que vocês vão dizerA questão é querer desejar, decidirAí diz o meu coraçãoQue prazer tem bater se ela não vai ouvirAí minha boca me dizQue prazer tem sorrir se ela não me sorri tambémQuem pode querer ser felizSe não for por um grande amor?Eu sei que vocês vão dizerA questão é querer desejar, decidirAí diz o meu coraçãoQue prazer tem bater se ela não vai ouvirCantar, mas me digam, pra quê?E o que vou sonhar, só querendo escapar à dorQuem pode querer ser felizSe não for por amor?Quem pode querer ser felizSe não for por amor?Quem pode querer ser felizSe não for por amor?;25.515;Abel Silva / João Bosco;2025-09-07 12:33:43
Desfigurado;https://www.letras.mus.br/djavan/85858/;Amortua dor deixouMeu ser desfiguradoBasta me lembrarPrá reativarO meu sofrerPrá que?SigoCaminhando sóMeu caminhos perdiVocê se virouEm brisa ou póAfinalSe foiDesapareceuSumiuSem pedir a DeusQuem pede perdãoSou eu;4.855;Djavan;2025-09-07 12:33:43
Dia Azul;https://www.letras.mus.br/djavan/98346/;Tu, somente tuirás converter a neveem dia azulbasta um olhare gelo pega fogomeu estado é luznum outro mundoem todo lugareu me sentireiinfindo por te amara sensaçãoé de poder tudoe ter amorpor todo mundotudo bemse o céu dos teus olhosmentir e eu possa vircomo a Evaa passar desilusãomas se nãoe for realidade o que dizo teu olhar de amorsair do teu comandonem de vez em quandoeu não saberiao que fariaposso até dizero quanto tudo é bem maiorpor te quererviver é maisdo que sair salvando o que podee com amora vida explode;34.273;Djavan;2025-09-07 12:33:43
Disfarça e Chora;https://www.letras.mus.br/djavan/1742339/;ChoraDisfarça e choraAproveita a voz do lamentoQue já vem a auroraA pessoa que tanto queriasAntes mesmo de raiar o diaDeixou o ensaio por outraÓ, triste senhoraDisfarça e choraTodo o pranto tem horaE eu vejo seu pranto cairNo momento mais certoOlhar, gostar só de longeNão faz ninguém chegar pertoE o seu pranto, ó, triste senhoraVai molhar o desertoChoraDisfarça e choraAproveita a voz do lamentoQue já vem a auroraA pessoa que tanto queriaAntes mesmo de raiar o diaDeixou a escola por outraÓ, triste senhoraDisfarça e choraTodo o pranto tem horaE eu vejo seu pranto cairNo momento mais certoOlhar, gostar só de longeNão faz ninguém chegar pertoE o seu pranto, ó, triste senhoraVai molhar o deserto;26.962;Cartola / Dalmo Castello;2025-09-07 12:33:43
Doidice;https://www.letras.mus.br/djavan/84756/;É naturalUm vendaval que passa aquiMais doidice aliOu uma seca que arrasouPior é não te ver agoraAflora víciosClaras manhãsOu tanto maisQue eu possa terNada quer dizerSe o teu beijo não é meuCio chegandoCalor explodindoTemores rondando o arE eu pensando em tiMe apaixonei?Talvez, pode serEnlouqueci?Não sei, nunca viPreciso sairDepois que eu descobriQue há vocêNunca mais existiCuanto más me olvidas te amo masEstrella, sin tu amorNo sé, no sé, no sé, no sé;69.069;Djavan;2025-09-07 12:33:43
Dois Amores;https://www.letras.mus.br/djavan/85860/;No dia em que cruzei contigo,me lembro,vi logo todo o filme que viria:eu nasci pra adorar vocepela vida afora e sempreaté morrerMas outro caraatravessou meu caminho,vi logo que o filme se repetia,e agi pra pensar depois:como eu posso amar e tanto assimaos dois?Outra boca, outro corpooutras mãos, eu seivou falando assim pra me confessarEstou apaixonadaAté já sonheidois amores, outra leinenhuma falta a ser perdoada.Não me peçapra parar de te querernunca me abandonesem ver razãonada é tudo ou nada.Se o meu coraçãopuder ser de mais alguémdeixa eu ir, deixa serdeixa estar, tudo bem.;37.764;Djavan / Fátima Guedes;2025-09-07 12:33:43
Dona do Horizonte;https://www.letras.mus.br/djavan/dona-do-horizonte/;Eu já nasciMinha mãe quem dizPredestinado ao cantoEla falouQue eu tinha o domQuando eu estavaNa soleiraDos meus poucos anos!Foi indo assim, quando dei por mimJá não fazia outra coisaCantava ali, só pra ela ouvirE me dizer coisas tão boasPor exemplo:Quero vê-lo o mais queridoComo nosso orlandoHei de ler seu nome escritoEm placa de avenidaNão vai mudar, toda mãe é assimMãe é o nome do amor!Logo cresciMinha mãe aliDona do horizonteMe fez ouvirDalva de OliveiraE Ângela Maria todo diaDeusas que adoravaTinha prazerEm me levar pra verLuiz Gonzaga cantarNão sem deixarDe advertirPra que eu estudasse sempre maisE sem descansoQuero vê-lo o mais queridoComo nosso orlandoHei de ler seu nome escritoEm placa de avenidaNão vai mudar, toda mãe é assimMãe é o nome do amor!;11.062;Djavan;2025-09-07 12:33:44
Dor e Prata;https://www.letras.mus.br/djavan/85861/;Pão é ouroPrata é leiDor é nylonAmor é vidroEu e DeusCrescer é como trairDe repente amanhecerJá na hora de partir pra vidaViver é mais que crescerÉ querer achar o fimDo saber, da lei, da vidaDo nadaDe tudo, de siPão é ouroPrata é leiDor é nailonAmor é vidroEu e DeusCrescer é como trairDe repente amanhecerJá na hora de partir pra vidaViver é mais que crescerÉ querer achar o fimDo saber, da lei, da vidaDo nadaDe tudo, de si;6.547;Djavan;2025-09-07 12:33:44
Dores Gris;https://www.letras.mus.br/djavan/dores-gris/;Sei que não seiSair de onde quero ficarO meu lugarÉ aonde eu ainda não fuiVivo assim como quem nem nasceuEsperando você para amarE viverA poesiaQuanto mais lida, mais ganha vidaCom seu amor, um ser melhor sereiO vento austral sopra longitudinalAs melenas da nau solidãoAs Dores Gris de quem ama e não é felizÉ uma praga que dá na raizPois sem você não saberei quem souOu o que faço com tanto amor;6.515;Djavan;2025-09-07 12:33:44
Dorme Sofia;https://www.letras.mus.br/djavan/98351/;Na, na, na, na, nana, na, na, na, naa Sofia vai dormira Sofia vai nanarna, na, na, na, nana, na, na, na, naa Sofia com esse olhãocomo pode dormirdorme, Sofiadorme, Sofia (BIS)dorme, Sofiadormena, na, na, na, na;10.266;Djavan;2025-09-07 12:33:44
Dou Não Dou;https://www.letras.mus.br/djavan/45519/;Você me faz sofrer e diz que chorarNão faz mal a ninguémEu quero ver meu bemQuando cê vai querer crescerNão vê que além de tiNão existirá no mundo mais ninguémTambém se mais houver é loucuraRefaça e diga que me quer namorarCriatura do céuE a gente faz amor quando tiver que acontecerSe eu te desejo logo posso esperarQue um dia vou verA fera ronronar com doçuraAí quem sabe a gente emendaAí quem sabe a gente váDepois da explosão,do vem meu bemDou não douSe apaixonarO tempo passa o amor aumentaE tudo passa a ser demaisE a sensação de conviver com a dor cai;72.801;Djavan;2025-09-07 12:33:44
Drão;https://www.letras.mus.br/djavan/571705/;DrãoO amor da gente é como um grãoUma semente de ilusãoTem que morrer pra germinarPlantar n'algum lugarRessuscitar no chãoNossa semeaduraQuem poderá fazerAquele amor morrerNossa caminhaduraDura caminhadaPela estrada escuraDrãoNão pense na separaçãoNão despedace o coraçãoO verdadeiro amor é vãoEstende-se infinitoImenso monolitoNossa arquiteturaQuem poderá fazerAquele amor morrerNossa caminha duraCama de tatamePela vida aforaDrãoOs meninos são todos sãosOs pecados são todos meusDeus sabe a minha confissãoNão há o que perdoarPor isso mesmo é que háDe haver mais compaixãoQuem poderá fazerAquele amor morrerSe o amor é como um grãoMorre nasce trigoVive morre pãoDrão, Drão;45.971;Gilberto Gil;2025-09-07 12:33:44
Dupla Traição;https://www.letras.mus.br/djavan/85862/;Você chegouVocê me viuVocê falouVocê me iludiuMe beijouE agora amor?Você dormiu, se retirou e eu fiqueiVocê destruiu o que fezE agora, amor?Na minha opiniãoIsso é dupla traiçãoSe você não sabe pedir perdãoVolta que eu quero morrer de alegriaDepois agradecer;32.548;Djavan;2025-09-07 12:33:44
É Hora;https://www.letras.mus.br/djavan/85863/;É hora de trabalharNa hora de receberÉ hora de se comerO pão que o diabo amassou (BIS)Me conta como foi o diaMe conta o que restouPro dia de amanhãNão é necessário dizerPerigaVocê chorar e eu sorrirE o povo inteiro a perguntarPorque o rio deságua no mar?Ê ! O rio deságua no mar (BIS)Deságua no mar (3 vezes). No Mar !Ê ! O rio deságua no mar (BIS)Deságua no mar (3 vezes).No Mar !;18.169;Djavan;2025-09-07 12:33:44
E Que Deus Ajude;https://www.letras.mus.br/djavan/85865/;ParaparaEu vou mudar de profissãoEu vou ser cantorEu vou pro Rio de Janeiro BISNo Expresso Brasileiropelo mês de fevereiroJá cansei de ser ferreiroSeu doutor, oh seu doutorO meu som alagoanoConquistou americanovivo vindo dos Estados UnidosE pra saber meu paradeiroLá no Rio de JaneiroConsultei meu padroeiroMeu amigoO meu amigo, o meu amigofalou:Vá com fé e DeusE que Deus ajudeQue Deus te cuideDeus não ilude;26.874;Djavan;2025-09-07 12:33:44
É Sério;https://www.letras.mus.br/djavan/85864/;Meu peito exposto flecha mortalSerá que é bem, será que é mal,Será amor bandido?Eu vou levando vida normalNão te conheço e nem te esqueço,quero, te quero, te queroe é sério, sim,se o destino fezvocê gostar de mim.Será por quequis na minha vidaalguém como voce?;18.662;Djavan / Fátima Guedes;2025-09-07 12:33:45
Êh! Êh!;https://www.letras.mus.br/djavan/eh-eh/;Meu coração tá assimDesertoComo a saudadeTá sem paz, sem liberdadePrecisa se refazerEstrago da tempestadeTambém preciso entenderQue o amor deixa saudadeÊh, êhAssim está meu coraçãoAtolado em lodo e lamaSoterrado nesse tramaMas respirando a esperançaMeu peito está desse jeitinhoBatendo descompassadoTá ferido e magoadoChorando que nem criançaCoração de poetaFaz do amor sua metaSe o amor tem seu poderDessa eu não vou morrerVou reconstruir meu sonhoBuscando outros sinaisNinguém vai me ver tristonhoJamaisJamais duvidei do amor e não duvidarei;736;Sabe de quem é a composição? Envie pra gente.;2025-09-07 12:33:45
Embola Bola (Cateretê);https://www.letras.mus.br/djavan/85866/;Embola a bola emboraSem rebolarEmbola a bola emboraSem rebolarEmbola a bola emboraSem rebolarEmbola a bola emboraSem rebolarPasso nessa vidaComo passo na avenidaEntre nobres e caras-de-pauSufocados no mesmo idealMas, à mercêDe um falso alentoEu me deitoEsperandoSorrindo ou xingandoO que jamaisTeceu-me consideraçãoDança quem marcouEu não;14.656;Djavan;2025-09-07 12:33:45
