nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
Florida Panthers,1994,20,22,41.70%,,115,127,-12.0
Hartford Whalers,1994,19,24,39.60%,,127,141,-14.0
Los Angeles Kings,1994,16,23,33.30%,,142,174,-32.0
Montreal Canadiens,1994,18,23,37.50%,,125,148,-23.0
New Jersey Devils,1994,22,18,45.80%,,136,121,15.0
New York Islanders,1994,15,28,31.20%,,126,158,-32.0
New York Rangers,1994,22,23,45.80%,,139,134,5.0
Ottawa Senators,1994,9,34,18.80%,,117,174,-57.0
Philadelphia Flyers,1994,28,16,58.30%,,150,132,0.583
Pittsburgh Penguins,1994,29,16,60.40%,,181,158,0.604
Quebec Nordiques,1994,30,13,62.50%,,185,134,0.625
San Jose Sharks,1994,19,25,39.60%,,129,161,-32.0
St. Louis Blues,1994,28,15,58.30%,,178,135,0.583
Tampa Bay Lightning,1994,17,28,35.40%,,120,144,-24.0
Toronto Maple Leafs,1994,21,19,43.80%,,135,146,-11.0
Vancouver Canucks,1994,18,18,37.50%,,153,148,5.0
Washington Capitals,1994,22,18,45.80%,,136,120,16.0
Winnipeg Jets,1994,16,25,33.30%,,157,177,-20.0
Mighty Ducks of Anaheim,1995,35,39,42.70%,,234,247,-13.0
Boston Bruins,1995,40,31,48.80%,,282,269,13.0
Buffalo Sabres,1995,33,42,40.20%,,247,262,-15.0
Calgary Flames,1995,34,37,41.50%,,241,240,1.0
Chicago Blackhawks,1995,40,28,48.80%,,273,220,53.0
Colorado Avalanche,1995,47,25,57.30%,,326,240,0.573
Dallas Stars,1995,26,42,31.70%,,227,280,-53.0
Detroit Red Wings,1995,62,13,75.60%,,325,181,0.756
Edmonton Oilers,1995,30,44,36.60%,,240,304,-64.0
Florida Panthers,1995,41,31,50.00%,,254,234,0.5
Hartford Whalers,1995,34,39,41.50%,,237,259,-22.0
Los Angeles Kings,1995,24,40,29.30%,,256,302,-46.0
Montreal Canadiens,1995,40,32,48.80%,,265,248,17.0
New Jersey Devils,1995,37,33,45.10%,,215,202,13.0
New York Islanders,1995,22,50,26.80%,,229,315,-86.0
New York Rangers,1995,41,27,50.00%,,272,237,0.5
Ottawa Senators,1995,18,59,22.00%,,191,291,-100.0
Philadelphia Flyers,1995,45,24,54.90%,,282,208,0.549
Pittsburgh Penguins,1995,49,29,59.80%,,362,284,0.598
San Jose Sharks,1995,20,55,24.40%,,252,357,-105.0
St. Louis Blues,1995,32,34,39.00%,,219,248,-29.0
Tampa Bay Lightning,1995,38,32,46.30%,,238,248,-10.0
Toronto Maple Leafs,1995,34,36,41.50%,,247,252,-5.0
Vancouver Canucks,1995,32,35,39.00%,,278,278,0.0
Washington Capitals,1995,39,32,47.60%,,234,204,30.0
Winnipeg Jets,1995,36,40,43.90%,,275,291,-16.0
Mighty Ducks of Anaheim,1996,36,33,43.90%,,245,233,12.0
Boston Bruins,1996,26,47,31.70%,,234,300,-66.0
Buffalo Sabres,1996,40,30,48.80%,,237,208,29.0
Calgary Flames,1996,32,41,39.00%,,214,239,-25.0
Chicago Blackhawks,1996,34,35,41.50%,,223,210,13.0
Colorado Avalanche,1996,49,24,59.80%,,277,205,0.598
Dallas Stars,1996,48,26,58.50%,,252,198,0.585
Detroit Red Wings,1996,38,26,46.30%,,253,197,56.0
Edmonton Oilers,1996,36,37,43.90%,,252,247,5.0
Florida Panthers,1996,35,28,42.70%,,221,201,20.0
Hartford Whalers,1996,32,39,39.00%,,226,256,-30.0
Los Angeles Kings,1996,28,43,34.10%,,214,268,-54.0
Montreal Canadiens,1996,31,36,37.80%,,249,276,-27.0
New Jersey Devils,1996,45,23,54.90%,,231,182,0.549
New York Islanders,1996,29,41,35.40%,,240,250,-10.0
New York Rangers,1996,38,34,46.30%,,258,231,27.0
Ottawa Senators,1996,31,36,37.80%,,226,234,-8.0
Philadelphia Flyers,1996,45,24,54.90%,,274,217,0.549
Phoenix Coyotes,1996,38,37,46.30%,,240,243,-3.0
Pittsburgh Penguins,1996,38,36,46.30%,,285,280,5.0
San Jose Sharks,1996,27,47,32.90%,,211,278,-67.0
