nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
Boston Bruins,2007,41,29,50.00%,12,212,222,0.5
Buffalo Sabres,2007,39,31,47.60%,12,255,242,13.0
Calgary Flames,2007,42,30,51.20%,10,229,227,0.512
Carolina Hurricanes,2007,43,33,52.40%,6,252,249,0.524
Columbus Blue Jackets,2007,34,36,41.50%,12,193,218,-25.0
Chicago Blackhawks,2007,40,34,48.80%,8,239,235,4.0
Colorado Avalanche,2007,44,31,53.70%,7,231,219,0.537
Dallas Stars,2007,45,30,54.90%,7,242,207,0.549
Detroit Red Wings,2007,54,21,65.90%,7,257,184,0.659
Edmonton Oilers,2007,41,35,50.00%,6,235,251,0.5
Florida Panthers,2007,38,35,46.30%,9,216,226,-10.0
Los Angeles Kings,2007,32,43,39.00%,7,231,266,-35.0
Minnesota Wild,2007,44,28,53.70%,10,223,218,0.537
Montreal Canadiens,2007,47,25,57.30%,10,262,222,0.573
Nashville Predators,2007,41,32,50.00%,9,230,229,0.5
New Jersey Devils,2007,46,29,56.10%,7,206,197,0.561
New York Islanders,2007,35,38,42.70%,9,194,243,-49.0
New York Rangers,2007,42,27,51.20%,13,213,199,0.512
Ottawa Senators,2007,43,31,52.40%,8,261,247,0.524
Philadelphia Flyers,2007,42,29,51.20%,11,248,233,0.512
Phoenix Coyotes,2007,38,37,46.30%,7,214,231,-17.0
Pittsburgh Penguins,2007,47,27,57.30%,8,247,216,0.573
San Jose Sharks,2007,49,23,59.80%,10,222,193,0.598
St. Louis Blues,2007,33,36,40.20%,13,205,237,-32.0
Tampa Bay Lightning,2007,31,42,37.80%,9,223,267,-44.0
Toronto Maple Leafs,2007,36,35,43.90%,11,231,260,-29.0
Vancouver Canucks,2007,39,33,47.60%,10,213,215,-2.0
Washington Capitals,2007,43,31,52.40%,8,242,231,0.524
Anaheim Ducks,2008,42,33,51.20%,7,245,238,0.512
Atlanta Thrashers,2008,35,41,42.70%,6,257,280,-23.0
Boston Bruins,2008,53,19,64.60%,10,274,196,0.646
Buffalo Sabres,2008,41,32,50.00%,9,250,234,0.5
Calgary Flames,2008,46,30,56.10%,6,254,248,0.561
Carolina Hurricanes,2008,45,30,54.90%,7,239,226,0.549
Columbus Blue Jackets,2008,41,31,50.00%,10,226,230,0.5
Chicago Blackhawks,2008,46,24,56.10%,12,264,216,0.561
Colorado Avalanche,2008,32,45,39.00%,5,199,257,-58.0
Dallas Stars,2008,36,35,43.90%,11,230,257,-27.0
Detroit Red Wings,2008,51,21,62.20%,10,295,244,0.622
Edmonton Oilers,2008,38,35,46.30%,9,234,248,-14.0
Florida Panthers,2008,41,30,50.00%,11,234,231,0.5
Los Angeles Kings,2008,34,37,41.50%,11,207,234,-27.0
Minnesota Wild,2008,40,33,48.80%,9,219,200,19.0
Montreal Canadiens,2008,41,30,50.00%,11,249,247,0.5
Nashville Predators,2008,40,34,48.80%,8,213,233,-20.0
New Jersey Devils,2008,51,27,62.20%,4,244,209,0.622
New York Islanders,2008,26,47,31.70%,9,201,279,-78.0
New York Rangers,2008,43,30,52.40%,9,210,218,0.524
Ottawa Senators,2008,36,35,43.90%,11,217,237,-20.0
Philadelphia Flyers,2008,44,27,53.70%,11,264,238,0.537
Phoenix Coyotes,2008,36,39,43.90%,7,208,252,-44.0
Pittsburgh Penguins,2008,45,28,54.90%,9,264,239,0.549
San Jose Sharks,2008,53,18,64.60%,11,257,204,0.646
St. Louis Blues,2008,41,31,50.00%,10,233,233,0.5
Tampa Bay Lightning,2008,24,40,29.30%,18,210,279,-69.0
Toronto Maple Leafs,2008,34,35,41.50%,13,250,293,-43.0
Vancouver Canucks,2008,45,27,54.90%,10,246,220,0.549
Washington Capitals,2008,50,24,61.00%,8,272,245,0.61
Anaheim Ducks,2009,39,32,47.60%,11,238,251,-13.0
Atlanta Thrashers,2009,35,34,42.70%,13,234,256,-22.0
Boston Bruins,2009,39,30,47.60%,13,206,200,6.0
Buffalo Sabres,2009,45,27,54.90%,10,235,207,0.549
Calgary Flames,2009,40,32,48.80%,10,204,210,-6.0
Carolina Hurricanes,2009,35,37,42.70%,10,230,256,-26.0
Columbus Blue Jackets,2009,32,35,39.00%,15,216,259,-43.0
Chicago Blackhawks,2009,52,22,63.40%,8,271,209,0.634
Colorado Avalanche,2009,43,30,52.40%,9,244,233,0.524
Dallas Stars,2009,37,31,45.10%,14,237,254,-17.0
Detroit Red Wings,2009,44,24,53.70%,14,229,216,0.537
Edmonton Oilers,2009,27,47,32.90%,8,214,284,-70.0
Florida Panthers,2009,32,37,39.00%,13,208,244,-36.0
Los Angeles Kings,2009,46,27,56.10%,9,241,219,0.561
Minnesota Wild,2009,38,36,46.30%,8,219,246,-27.0
Montreal Canadiens,2009,39,33,47.60%,10,217,223,-6.0
Nashville Predators,2009,47,29,57.30%,6,225,225,0.573
New Jersey Devils,2009,48,27,58.50%,7,222,191,0.585
New York Islanders,2009,34,37,41.50%,11,222,264,-42.0
New York Rangers,2009,38,33,46.30%,11,222,218,4.0
Ottawa Senators,2009,44,32,53.70%,6,225,238,0.537
Philadelphia Flyers,2009,41,35,50.00%,6,236,225,0.5
Phoenix Coyotes,2009,50,25,61.00%,7,225,202,0.61
Pittsburgh Penguins,2009,47,28,57.30%,7,257,237,0.573
San Jose Sharks,2009,51,20,62.20%,11,264,215,0.622
St. Louis Blues,2009,40,32,48.80%,10,225,223,2.0
Tampa Bay Lightning,2009,34,36,41.50%,12,217,260,-43.0
Toronto Maple Leafs,2009,30,38,36.60%,14,214,267,-53.0
Vancouver Canucks,2009,49,28,59.80%,5,272,222,0.598
Washington Capitals,2009,54,15,65.90%,13,318,233,0.659
Anaheim Ducks,2010,47,30,57.30%,5,239,235,0.573
Atlanta Thrashers,2010,34,36,41.50%,12,223,269,-46.0
Boston Bruins,2010,46,25,56.10%,11,246,195,0.561
Buffalo Sabres,2010,43,29,52.40%,10,245,229,0.524
Calgary Flames,2010,41,29,50.00%,12,250,237,0.5
Carolina Hurricanes,2010,40,31,48.80%,11,236,239,-3.0
Columbus Blue Jackets,2010,34,35,41.50%,13,215,258,-43.0
Chicago Blackhawks,2010,44,29,53.70%,9,258,225,0.537
Colorado Avalanche,2010,30,44,36.60%,8,227,288,-61.0
Dallas Stars,2010,42,29,51.20%,11,227,233,0.512
Detroit Red Wings,2010,47,25,57.30%,10,261,241,0.573
Edmonton Oilers,2010,25,45,30.50%,12,193,269,-76.0
Florida Panthers,2010,30,40,36.60%,12,195,229,-34.0
Los Angeles Kings,2010,46,30,56.10%,6,219,198,0.561
Minnesota Wild,2010,39,35,47.60%,8,206,233,-27.0
Montreal Canadiens,2010,44,30,53.70%,8,216,209,0.537
Nashville Predators,2010,44,27,53.70%,11,219,194,0.537
New Jersey Devils,2010,38,39,46.30%,5,174,209,-35.0
New York Islanders,2010,30,39,36.60%,13,229,264,-35.0
New York Rangers,2010,44,33,53.70%,5,233,198,0.537
Ottawa Senators,2010,32,40,39.00%,10,192,250,-58.0
Philadelphia Flyers,2010,47,23,57.30%,12,259,223,0.573
Phoenix Coyotes,2010,43,26,52.40%,13,231,226,0.524
Pittsburgh Penguins,2010,49,25,59.80%,8,238,199,0.598
San Jose Sharks,2010,48,25,58.50%,9,248,213,0.585
St. Louis Blues,2010,38,33,46.30%,11,240,234,6.0
Tampa Bay Lightning,2010,46,25,56.10%,11,247,240,0.561
Toronto Maple Leafs,2010,37,34,45.10%,11,218,251,-33.0
Vancouver Canucks,2010,54,19,65.90%,9,262,185,0.659
Washington Capitals,2010,48,23,58.50%,11,224,197,0.585
Anaheim Ducks,2011,34,36,41.50%,12,204,231,-27.0
Boston Bruins,2011,49,29,59.80%,4,269,202,0.598
Buffalo Sabres,2011,39,32,47.60%,11,218,230,-12.0
Calgary Flames,2011,37,29,45.10%,16,202,226,-24.0
Carolina Hurricanes,2011,33,33,40.20%,16,213,243,-30.0
Columbus Blue Jackets,2011,29,46,35.40%,7,202,262,-60.0
Chicago Blackhawks,2011,45,26,54.90%,11,248,238,0.549
Colorado Avalanche,2011,41,35,50.00%,6,208,220,0.5
Dallas Stars,2011,42,35,51.20%,5,211,222,0.512
Detroit Red Wings,2011,48,28,58.50%,6,248,203,0.585
Edmonton Oilers,2011,32,40,39.00%,10,212,239,-27.0
Florida Panthers,2011,38,26,46.30%,18,203,227,-24.0
Los Angeles Kings,2011,40,27,48.80%,15,194,179,15.0
Minnesota Wild,2011,35,36,42.70%,11,177,226,-49.0
Montreal Canadiens,2011,31,35,37.80%,16,212,226,-14.0
Nashville Predators,2011,48,26,58.50%,8,237,210,0.585
New Jersey Devils,2011,48,28,58.50%,6,228,209,0.585
New York Islanders,2011,34,37,41.50%,11,203,255,-52.0
New York Rangers,2011,51,24,62.20%,7,226,187,0.622
Ottawa Senators,2011,41,31,50.00%,10,249,240,0.5
Philadelphia Flyers,2011,47,26,57.30%,9,264,232,0.573
Phoenix Coyotes,2011,42,27,51.20%,13,216,204,0.512
Pittsburgh Penguins,2011,51,25,62.20%,6,282,221,0.622
San Jose Sharks,2011,43,29,52.40%,10,228,210,0.524
St. Louis Blues,2011,49,22,59.80%,11,210,165,0.598
Tampa Bay Lightning,2011,38,36,46.30%,8,235,281,-46.0
Toronto Maple Leafs,2011,35,37,42.70%,10,231,264,-33.0
Vancouver Canucks,2011,51,22,62.20%,9,249,198,0.622
Washington Capitals,2011,42,32,51.20%,8,222,230,0.512
Winnipeg Jets,2011,37,35,45.10%,10,225,246,-21.0
